row_id,app_id,app_name,app_version,cmp_id,cmp_name,cmp_version,cmp_type,app_status,cmp_status,request_id,request_date,request_status,request_step,notes,requestor,color
1,BOM-100,QuizMaster,1.1,101.1,DB_Layer,2.3,internal,released,released,PQR_839_R1,9/2/2019,Approved,Approval Step,,,red
2,BOM-100,QuizMaster,1.1,101.2,Jquery,4.3,open source,released,approved,XYZ_789_R2,10/1/2019,Approved,Approval Step,"open source, no commercial support",,yellow
3,BOM-100,QuizMaster,1.1,101.3,Bootstrap,8.5.c,open source,released,pending,ABC_678_R1,2/12/2018,Submitted,Inspection Step,,,yellow
4,BOM-100,QuizMaster,1.1,101.4,IconFinder,2019,commercial,released,submitted,BND_387_R1,10/15/2005,Submitted,Inspection Step,,,yellow
5,BOM-100,QuizMaster,1.1,101.5,Excel,2019,commercial,released,in_review,BSL_887_R2,6/18/2010,Pending,Review Step,,,yellow
6,101.1,DB_Layer,2.3,101.1.1,DB_Layer_MySQL,v1.0,internal,released,released,KSI_887_R3,10/7/2019,Approved,Approval Step,,,yellow
8,101.1,DB_Layer,2.3,101.1.2,DB_Layer_DB2,v1.0,internal,released,released,KSE_888_R1,6/10/2009,Approved,Approval Step,,,yellow
10,101.1,DB_Layer,2.3,101.1.4,DB_Layer_Ingress,v1.0,internal,released,released,LSO_262_R2,5/28/2012,Approved,Approval Step,,,yellow
11,BOM-104,QuizMaster,2.2,202.2,DB_Layer,2.3,internal,released,released,IWU_376_R2,2/18/2007,Approved,Approval Step,,,red
12,BOM-104,QuizMaster,2.2,202.2,Jquery,4.3,open source,released,approved,BLD_198_R1,6/17/2019,Submitted,Inspection Step,"open source, no commercial support",,red
13,BOM-104,QuizMaster,2.2,202.3,Bootstrap,8.5.c,open source,released,pending,KSO_409_R2,1/30/2005,Pending,Review Step,,,yellow
14,BOM-104,QuizMaster,2.2,202.4,IconFinder,2029,commercial,released,submitted,OSP_736_R2,5/28/2019,Submitted,Inspection Step,,,yellow
15,BOM-104,QuizMaster,2.2,202.5,Excel,2029,commercial,released,in_review,NXH_309_R1,3/1/2017,Pending,Review Step,,,yellow
16,202.2,DB_Layer,2.3,202.2.2,DB_Layer_Maria,v2.0,internal,released,released,HSI_735_R2,7/6/2000,Approved,Approval Step,,,yellow
17,202.2,DB_Layer,2.3,202.2.2,DB_Layer_DB2,v2.0,internal,released,released,SOI_037_R3,5/13/2013,Approved,Approval Step,,,yellow
18,202.2,DB_Layer,2.3,202.2.3,DB_Layer_Oracle,v2.0,internal,released,released,JSE_398_R1,6/18/2019,Approved,Approval Step,,,yellow
19,202.2,DB_Layer,2.3,202.2.4,DB_Layer_Ingress,v2.0,internal,released,released,MSI_465_R2,4/30/2004,Approved,Approval Step,,,yellow
20,202.2,DB_Layer,2.3,202.2.5,DB_Layer_MS_SQL,v2.0,internal,released,released,SPO_765_R3,4/9/2018,Approved,Approval Step,,,yellow
21,ALI-7,(a) Address Book,7,7.7.1,Apache,5,open source,released,released,GGQ_410_R48,6/28/2016,,completed,"open source, no commercial support",,yellow
22,ALI-7,(a) Address Book,7,7.7.10,Trullium,6,commercial,released,released,LZV_627_R26,7/1/2016,,completed,,,yellow
23,ALI-7,(a) Address Book,7,7.7.11,Bootstrap,2,open source,released,released,HZX_979_R17,7/2/2016,,completed,"open source, no commercial support",,yellow
24,ALI-7,(a) Address Book,7,7.7.12,jQuery,3,open source,released,released,ZPD_992_R30,7/3/2016,,completed,,,yellow
25,ALI-7,(a) Address Book,7,7.7.13,(a) Color Picker,1.1,internal,released,released,NND_946_R15,7/6/2016,,completed,,,yellow
26,ALI-7,(a) Address Book,7,7.7.2,Contact Import,8.9,commercial,released,released,KKP_985_R50,7/6/2016,,completed,,,yellow
27,ALI-7,(a) Address Book,7,7.7.3,Ajax,9,open source,released,released,DQW_484_R47,7/7/2016,,completed,,,yellow
28,ALI-7,(a) Address Book,7,7.7.4,Google Maps,v1.0,API,released,released,EBP_849_R1,7/9/2016,,completed,,,yellow
29,ALI-7,(a) Address Book,7,7.7.5,mySQL,3,open source,released,released,HOM_656_R41,7/9/2016,,completed,,,yellow
30,ALI-7,(a) Address Book,7,7.7.6,(a) Picture Place,8.1,internal,released,released,ORS_333_R40,7/10/2016,,completed,,,yellow
31,ALI-7,(a) Address Book,7,7.7.7,White Pages,2016,commercial,released,released,SQF_953_R29,7/10/2016,,completed,,,yellow
32,ALI-7,(a) Address Book,7,7.7.8,Acrobat Reader,6,commercial,released,released,KJU_211_R1,7/11/2016,,completed,,,yellow
33,ALI-7,(a) Address Book,7,7.7.9,GPS Find Me,9,commercial,released,released,DJT_214_R28,7/11/2016,,completed,,,yellow
34,ALI-71,(a) Address Book,71,71.71.1,Apache,6,open source,released,released,YNX_606_R25,7/13/2016,,completed,,,yellow
35,ALI-71,(a) Address Book,71,71.71.10,Trullium,6,commercial,released,released,UZR_430_R43,7/14/2016,,completed,,,yellow
36,ALI-71,(a) Address Book,71,71.71.11,Bootstrap,2,open source,released,released,BED_140_R17,7/14/2016,,completed,"open source, no commercial support",,yellow
37,ALI-71,(a) Address Book,71,71.71.12,jQuery,3,open source,released,released,MTU_663_R6,7/15/2016,,completed,,,yellow
38,ALI-71,(a) Address Book,71,71.71.13,(a) Color Picker,1.2,internal,released,released,DMU_856_R26,7/16/2016,,completed,,,yellow
39,ALI-71,(a) Address Book,71,71.71.2,Contact Import,9,commercial,released,released,VGU_960_R31,7/18/2016,,completed,,,yellow
40,ALI-71,(a) Address Book,71,71.71.3,Ajax,10,open source,released,released,KOM_465_R11,7/18/2016,,completed,,,yellow
41,ALI-71,(a) Address Book,71,71.71.4,Google Maps,v1.1,API,released,released,SOH_402_R4,7/19/2016,,completed,,,yellow
42,ALI-71,(a) Address Book,71,71.71.5,mySQL,4,open source,released,released,BQX_355_R43,7/19/2016,,completed,,,yellow
43,ALI-71,(a) Address Book,71,71.71.6,(a) Picture Place,8.1,internal,released,released,HCN_836_R20,7/20/2016,,completed,,,yellow
44,ALI-71,(a) Address Book,71,71.71.7,White Pages,2016,commercial,released,released,IQF_754_R20,7/23/2016,,completed,,,yellow
45,ALI-71,(a) Address Book,71,71.71.8,Acrobat Reader,6,commercial,released,released,ZPY_892_R30,7/24/2016,,completed,,,yellow
46,ALI-71,(a) Address Book,71,71.71.9,GPS Find Me,10,commercial,released,released,UBX_295_R39,7/25/2016,,completed,,,yellow
